Ticker,Name,Tot Assets:2024,Tot Assets:2023,Tot Assets:2022,Tot Assets:2021,Tot Assets:2020,Tot Assets:2019,Tot Assets:2018,Tot Assets:2017,Tot Assets:2016
DTEV US Equity,DATA EVOLUTION HOLDINGS INC, , , , , , , , , 
DAIO US Equity,DATA I/O CORP,24970000,27401000,27165000,29057000,25592000,28281000,30723000,30287000,22776000
DAM GR Equity,DATA MODUL AG,210071008,219215008,222032992,188840000,152952992,147580000,134124000,110852000,103041000
DTST US Equity,DATA STORAGE CORP,25280216,23301020,24086236,26334824,7752114,7342890,6144145,6393639,5810537
ATDS US Equity,DATA443 RISK MITIGATION INC, ,7453623,4183265,3061251,3110219,3749734,2114768, , 
DAC/H CN Equity,DATABLE TECHNOLOGY CORP, , ,892022,2455319,2070037,867762,500747,873936,769892
DDOG US Equity,DATADOG INC - CLASS A,5785338880,3936071936,3004851968,2380794112,1890285056,1038041024,179750000,127062000, 
D6H GR Equity,DATAGROUP SE,537383872,465286816,483584224,462991008,385351840,320076576,215449568,213390368,159746032
DLE ID Equity,DATALEX PLC,18286000,19896000,15710000,21215000,20816000,22559000,33709000,70165000,63331000
DLGI US Equity,DATALOGIC INTERNATIONAL INC, , , , , , , , , 
DAL IM Equity,DATALOGIC SPA,726553024,719502976,845510976,818865984,707689024,804609024,830158016,839438976,742846976
DM CN Equity,DATAMETREX AI LTD, ,23731624,35999996,42640644,9998329,7908436,9315916,11632066,201852
DATA DC Equity,DATAPROCES GROUP A/S,45516000,38964000,40311000,45238000,26309000,16757959, , , 
DTRK US Equity,DATATRAK INTERNATIONAL INC, , , , ,8228165,8373472,5277512,5477664,5242826
DVLT US Equity,DATAVAULT AI INC,100625000,4823000,11452000,19391000,11299000,4222000,5405706,1456913,942639
DATS US Equity,DATCHAT INC,5371458,6506543,13113690,20815016,744315,229354, , , 
DATA IM Equity,DATRIX SPA, ,34452844,32999720,34705456,11634448,8646514, , , 
DAY US Equity,DAYFORCE INC,9116999680,9010899968,8463499776,7166199808,6701300224,6085700096,5247799808,6729900032,6326000128
DBA IM Equity,DBA GROUP SPA,81105480,75622752,67139752,68290904,65394500,59281204,52835720,49530168,30283736
DLAD US Equity,DEALERADVANCE INC, , , , , , , , , 
ACT DC Equity,DECIDEACT A/S, ,28826420,27451880,32312744,29705228,11277879,6268146, , 
DECN US Equity,DECISION DIAGNOSTICS CORP, , , , , , , , , 
DPFD US Equity,DEEP FIELD TECHNOLOGIES-CL A, , , , , , , , , 
DSAI CN Equity,DEEPSPATIAL INC, ,1188780,1636018,2731120, ,659183,930959,120737,203796
DFDV US Equity,DEFI DEVELOPMENT CORP,4375775,6683825,1336913,1858687, , , , , 
DH US Equity,DEFINITIVE HEALTHCARE CORP,1089389056,1825901056,2120993024,2115987968,1745358976, , , , 
DGMA US Equity,DEGAMA SOFTWARE SOLUTIONS IN, , , , , , , , , 
DELL US Equity,DELL TECHNOLOGIES -C,82125996032,89611001856,92734996480,123415003136,118860996608,111819997184,124192997376,118205997056,45121998848
DLPX US Equity,DELPHAX TECHNOLOGIES INC, , , , , , , , , 
DSG CN Equity,DESCARTES SYSTEMS GRP/THE,1474285056,1316044032,1185431040,1063254016,942585984,653334016,624878016,500540000,452787008
FARM CN Equity,DEVERON CORP,56858832, ,116727088,22767376,9373572,3855407,4901616,2306521,1062079
DEVPB SS Equity,DEVPORT AB,279620000,283440000,263887008,213080000,186412992,212279008,197655008,105858000,64915208
DGB NA Equity,DGB GROUP NV, ,29165000,27657000,7063000,6062000,15001000,23369000,23888000,661000
DHH IM Equity,DHH SPA,57955120,53009624,53457820,37237156,30721028,10835101,10128411,9991513,9485158
DIAH SS Equity,DIADROM HOLDING AB,23002000,29521000,33952000,28183000,29610000,28290000,25267000,27323000,23430000
DBD US Equity,DIEBOLD NIXDORF INC,3543500032,4161999872,3064999936,3507200000,3657400064,3790599936,4280499968,5222000128,5270300160
DIGAF US Equity,DIGATRADE FINANCIAL CORP, , , , , , , , , 
DGII US Equity,DIGI INTERNATIONAL INC,815075008,835531008,853894976,619531008,528681984,398697984,372145984,345188992,336166016
DIGIA FH Equity,DIGIA OYJ,163486000,168156992,160116000,143040000,121078000,114116000,88104000,86610000,66389768
DMRC US Equity,DIGIMARC CORP,75766000,80552000,113777000,64876000,97028000,57388000,61787000,88370000,78736000
DGLY US Equity,DIGITAL ALLY INC/NV,27736572,47028808,56668064,82989200,20797528,8916875,14338655,13172534,18835096
DLOC US Equity,DIGITAL LOCATIONS INC, , , , , , , , , 
APPS US Equity,DIGITAL TURBINE INC,865539968,1266556032,1458509056,260368992,184011008,82861000,86607000,107580000,121940000
DGV IM Equity,DIGITAL VALUE SPA,752577984,729745984,634732032,539576000,379864000,327379008,244372992,201300992, 
DWF FH Equity,DIGITAL WORKFORCE SERVICES O,24343298,23434560,27917978,26543858,9378035,7492597.5,6973069, , 
DIGIGR FH Equity,DIGITALIST GROUP OYJ,10099000,11444000,12213000,14120000,19645000,26280000,32222000,25027000,16095000
DOCN US Equity,DIGITALOCEAN HOLDINGS INC,1639015040,1460967040,1815907968,2100994944,430252000,302484992, , , 
DGTW US Equity,DIGITALTOWN INC, , , , , ,59822,184314,693637,157901
DIGI US Equity,DIGITILITI INC, , , , , , , , , 
DSG LN Equity,DILLISTONE GROUP PLC,6684000,6831000,8041000,8582000,9841000,10662000,10532000,11530000,12631000
DIOD US Equity,DIODES INC,2386280960,2367659008,2288312064,2194494976,1979457024,1639384064,1526370944,1488673024,1528551936
DCSI CN Equity,DIRECT COMMUNICATION SOLUTIO,2732937,3059005,9755065,10144520,4485593,5066308,5657380,1947638, 
DSCV LN Equity,DISCOVERIE GROUP PLC,668700032,585699968,592700032,428200000,433800000,328300000,302300000,269300000,236700000
DIVIOB SS Equity,DIVIO TECHNOLOGIES AB,32395000,30175000,26455952,27528000,15531214,20704468,19558022,15828668, 
DLAB SS Equity,DLABORATORY SWEDEN AB,24654000,30621000,37973000,48196000,10735039,10915671, , , 
DCBO CN Equity,DOCEBO INC,190712992,158375008,283668992,268123008,254244000,63860000,13300734,9502419, 
DOC AU Equity,DOCTOR CARE ANYWHERE GRO-CDI,14993000,196070,220080,366560,494410,52898.0195,53244.4883, , 
DOCU US Equity,DOCUSIGN INC,2971290112,3012720128,2541264896,2336506880,1891138048,1615416960,619972992,499638016,486487008
DLB US Equity,DOLBY LABORATORIES INC-CL A,3109927936,2979766016,2689548032,3105687040,2917325056,2821748992,2865387008,2533553920,2310106112
DOMO US Equity,DOMO INC - CLASS B,225660000,242116000,244588992,216438000,216738000,292632000,155355008,137922000, 
DONE SS Equity,DONE.AI GROUP AB,2308779008,464676992,627155968,784134016,456719552,136910336,113547840,71442000, 
DFIN US Equity,DONNELLEY FINANCIAL SOLUTION,841600000,806899968,828300032,883299968,865600000,886899968,868700032,893500032,978899968
DORO SS Equity,DORO AB,946099968,869100032,903800000,990899968,1581299968,1677500032,1464400000,1177299968,1287900032
DOTD LN Equity,DOTDIGITAL GROUP PLC,123573000,100173000,87793000,75087000,67371000,53961000,48471000,34436000,28954000
DOTSOFT GA Equity,DOTSOFT SA, ,10026975,4345266.5,3824186.5, , , , , 
DV US Equity,DOUBLEVERIFY HOLDINGS INC,1276210048,1243031040,1037027968,892193984,511334016,466271008, , , 
DVAR US Equity,DOVARRI INC, , , , , , , , , 
DOX IM Equity,DOXEE SPA,43655516,46724976,45464800,31167754,24035358,14423000, , , 
DOCS US Equity,DOXIMITY INC-CLASS A,1079373952,1136888064,991356992,251719008,138920000, , , , 
DPRO CN Equity,DRAGANFLY INC,10200088,8330292,14638533,42113240,7100567,3221783,504825, , 
DWAY US Equity,DRIVEITAWAY HOLDINGS INC,1068097,230790,293117,1103030,1594004,2161977,745291,1122781,2046148
DBX US Equity,DROPBOX INC-CLASS A,3325199872,2983500032,3110099968,3091300096,2387200000,2699200000,1694099968,1019900032,1004200000
DROR US Equity,DROR ORTHO-DESIGN INC, , , , , , , , , 
DSS US Equity,DSS INC,106453000,153192000,248916000,282707008,91919000,20146000,15279786,17430776,18466024
DUSYF US Equity,DUESENBERG TECHNOLOGIES INC, , , , , , , , , 
DUOL US Equity,DUOLINGO,1301728000,953956992,747347008,661310976,175739008,95059000, , , 
DUOT US Equity,DUOS TECHNOLOGIES GROUP INC,34958676,12842285,13089119,9484163,6405799,5532300,4489993,2866178,1161916
DXC US Equity,DXC TECHNOLOGY CO,13870999552,15845000192,20138999808,22037999616,26005999616,29574000640,33920999424,8663000064, 
DXSP PZ Equity,DXS INTERNATIONAL PLC,2661322,7024630,6332409,6201878,5778566,5420163,4745692,4023669,4030156
DND CN Equity,DYE & DURHAM LTD,2243575040,2095047936,2250667008,1558365952,166960992,161666000,84787000, , 
KAS CN Equity,DYNAMITE BLOCKCHAIN CORP,7161830,3879209,10690169,1514180,152699,31030,4174471,27161,1073819
DYSL US Equity,DYNASIL CORP OF AMERICA, , , , , ,30827000,31532000,29097000,26369000
DT US Equity,DYNATRACE INC,3409778944,2765347072,2541309952,2256218112,2046877056,1811366016,1899001984, , 
DZSIQ US Equity,DZS INC, ,249380992,373160992,257668000,252230000,246147008,190007008,159127008,145447008
EBYH US Equity,E-BUY HOME INC, , , , , , , , , 
EDTA US Equity,E-DATA CORPORATION, , , , , , , , , 
EMNC US Equity,E-MONEE.COM INC, , , , , , , , , 
ALAGO FP Equity,E-PANGO SAS, ,3865898,9667926,18595456,10120944,5972202, , , 
ETWO US Equity,E2OPEN PARENT HOLDINGS INC,3141655040,4400175104,5405454848,3838177024,1440012032,951104000, , , 
EAXR US Equity,EALIXIR INC, , , , , , , , , 
SPOT CN Equity,EARTHLABS INC,44930712,49251444,63271860,73125048,23727168,10262392,643827,412250, 
EATR US Equity,EASTERN ASTERIA INC, , , , , , , , , 
ESY GR Equity,EASY SOFTWARE AG,44729000,49499000,36991000,46701000,45946000,51530000,36133000,35671000,34006000
EFIT GR Equity,EASYMOTION TEC AG, ,129235664,8139326,5954450,13791431,5395243.5,4301761, , 
ESSI US Equity,ECO SCIENCE SOLUTIONS INC, , , , , , , , , 
ECGS US Equity,ECO-GROWTH STRATEGIES INC, , , , , , , , , 
ECONB BB Equity,ECONOCOM GROUP,2392900096,2279500032,2501900032,2338200064,2659800064,2936800000,3009200128,2424399872,2134499968
CTRL CN Equity,EDGE TOTAL INTELLIGENCE INC,3905466,2744305,3574878,9985779,56517.0742,60990.9063, , , 
EGIL US Equity,EDGETECH INTERNATIONAL INC, , , , , , , , , 
YFI CN Equity,EDGEWATER WIRELESS SYSTEMS I, ,323402,406736,1565488,224920,798232,857097,999192,1731965
EGIOQ US Equity,EDGIO INC, , ,542380032,314075008,314177984,209368992,198924992,196448000,208128992
ALBERT SS Equity,EEDUCATION ALBERT,212870000,315528992,304006016,279800992,76741000,35826000,53724000, , 
EFOT US Equity,EFOTOXPRESS INC, , , , , , , , , 
EGAN US Equity,EGAIN CORP,127852000,130117000,126009000,114563000,93705000,73754000,39622000,39751000,48063000
EGN IM Equity,EGOMNIA SPA,2095000,1570406,1364691,1095763, , , , , 
EHVVF US Equity,EHAVE INC,2105023,2972925,1357770,2509176,1955607,496737,460234,59275,48380
EKI FP Equity,EKINOPS,185380000,192612000,182707008,170887008,168492992,155396992,134074000,130242000,24252000
ESTC US Equity,ELASTIC NV,2242565888,1743481984,1642930944,973171968,803910976,485737984,183012992,144347008, 
ELCO US Equity,ELCOM INTERNATIONAL INC, , , , , , , , , 
ELCO LN Equity,ELECO PLC,51812000,45976000,41591000,39221000,40593000,37466000,37362000,24492000,21986000
ETCIA US Equity,ELECTR TELE-COMMUNCTN, , , , , ,223156,233695, , 
EOSC US Equity,ELECTRO-OPTICAL SYSTEMS CORP, , , , , , , , , 
ELST US Equity,ELECTRONIC SYSTEMS TECHNOLOG, ,1731038,2046457,1778454,1832121,1904203,2050839,2114179,2588103
ELES IM Equity,ELES SEMICONDUCTOR EQUIPMENT,52517000,58211000,53166000,37233000,32277000,25771000,22643000, ,17399000
ELABS NO Equity,ELLIPTIC LABORATORIES ASA,361025984,348203008,349324000,371356000,218722080,139368080,102240968, , 
ELMN SW Equity,ELMA ELECTRONIC AG-REG,123863000,110874000,104204000,97580000,91803000,94070000,81832000,85559000,76788000
ELG GR Equity,ELMOS SEMICONDUCTOR SE,799830016,812398016,542428032,418007008,395497984,439521984,369096992,336929984,312929984
ELTEL SS Equity,ELTEL AB,585400000,624300032,621699968,630800000,677299968,807200000,829800000,828200000,1080000000
EMBA US Equity,EMAMBA INTERNATIONAL CORP, , , , , , , , , 
EMART SS Equity,EMBEDDEDART GROUP AB,23825016,17298196,28138184,52590664,22871664,4144700,3641962, ,3848739
EMRG CN Equity,EMERGENCE GLOBAL ENTERPRISES, , , ,6269328,4475.2344,2392.8516,15615.9141,17890.7188,1369391.75
MSN US Equity,EMERSON RADIO CORP,29065000,31371000,30010000,33902000,37901000,41861000,47757000,57848000,59888000
ENA CN Equity,ENABLENCE TECHNOLOGIES INC,5649142.5,7897713,1845844.75,1725952.75,2198984,2625146.5,5444659,12507735,4019596.25
DAVA US Equity,ENDAVA PLC- SPON ADR,1013891008,770065024,621854976,469046016,360943008,222678000,151014000,106382000,72897000
EDXC US Equity,ENDEXX CORP, , , , , , , , , 
E2N GR Equity,ENDOR AG, , ,101290800,70556736,58056460,23758568,10872679,8521447,6510649.5
ENEA SS Equity,ENEA AB,2544877056,2582266112,3317968896,3033298944,2334041088,2213769984,1919693056,1173785984,983046976
ALNN6 FP Equity,ENENSYS TECHNOLOGIES SA,16820000,16655000,17247000,19046000, , , , , 
ENENTO FH Equity,ENENTO GROUP OYJ,459640992,490336992,499071008,543756992,552532992,543289024,545870976,160320000,156587008
ALNRG FP Equity,ENERGISME SA, ,19102628,13334481,13116792,11418832,9436860,8088423,7291012, 
PLUG CN Equity,ENERGY PLUG TECHNOLOGIES COR,70687,866323,612808,1098667,35114,143030,936589,211992,103346
ENERS SS Equity,ENERSIZE OYJ,607313,788305,2006727,3108457,2296683.5,2434037.75,2542685.25,2729821.25,690329.625
EXR LN Equity,ENGAGE XR HOLDINGS PLC, ,9230140,3710728,8964479,3438954,3047419,4895391,25000,208849
ENGH CN Equity,ENGHOUSE SYSTEMS LTD,833492992,783670016,704998016,674624000,763646016,590600000,495200000,461836992,419195008
ENHT US Equity,ENHERENT CORP, , , , , , , , , 
EBWK US Equity,ENIGMA-BULWARK LTD, , , , , , , , , 
NLTA/H CN Equity,ENLIGHTA INC, , , , , , , , ,1161672
ENVX US Equity,ENOVIX CORP,527168992,564304000,440585984,482564992,230906192, , , , 
ENSU NO Equity,ENSURGE MICROPOWER ASA,11399000,7093000,8575000,10374000,7729000,12238000,79366000,149319008,104134000
ENTG US Equity,ENTEGRIS INC,8394619904,8812591104,10138857472,3191896064,2917696000,2516086016,2317640960,1976172032,1699532032
ETER US Equity,ENTERRA CORP, , , , , , , , , 
EPAM US Equity,EPAM SYSTEMS INC,4750473216,4352365056,4009150976,3523226880,2721331968,2244208128,1611801984,1250256000,925811008
EPAZ US Equity,EPAZZ INC, , , , , , , , , 
EQS FP Equity,EQUASENS, ,394044992,350812000,329950016,295776992,258100000,223808000,178160992,150696992
ERFB US Equity,ERF WIRELESS INC, , , , , , , , , 
ERICB SS Equity,ERICSSON LM-B SHS,292373987328,297035988992,349537009664,305613996032,271530000384,276383006720,268761006080,259881992192,283346993152
ESYS LN Equity,ESSENSYS GROUP LTD,22724000,27515000,47325000,52195000,22768000,16934000,16025000,17361000,13291000
ESK AU Equity,ETHERSTACK PLC-CDI,13753000,16223000,13949000,12556000,10104000,6462000,6734000,6965000,7881000
ETRI NO Equity,ETRINELL AS, , , , , , ,78453496,73247328,83235920
ETH IM Equity,EUROTECH SPA,111367000,155516992,176703008,165054000,179718000,170508992,143547008,127242000,141970000
EVCM US Equity,EVERCOMMERCE INC,1421267968,1518064000,1591728000,1663373056,1327584000,920243968, , , 
MRAM US Equity,EVERSPIN TECHNOLOGIES INC,77789000,67303000,55333000,39380000,32529000,35372000,45045000,31437000,41472000
ET CN Equity,EVERTZ TECHNOLOGIES LTD,484721984,436652000,420979008,451792992,443672992,466596992,421115008,410568000,448313984
EBZT US Equity,EVERYTHING BLOCKCHAIN INC, , , , , , , , , 
OKAI CN Equity,EVOKAI CREATIVE LABS INC, ,1153899.5,5498.5918,44720,133198,218032,299294,406351,11839
EVH US Equity,EVOLENT HEALTH INC - A,2544410880,2680307968,1817293056,1419458048,1371699968,1498014976,1722280960,1312696960,1199838976
EVS BB Equity,EVS BROADCAST EQUIPMENT S.A.,292030016,251576000,233216000,220227008,190016000,183032992,176344000,152852992,160276000
EWLL US Equity,EWELLNESS HEALTHCARE CORP, , , , , , , , , 
EWRK SS Equity,EWORK GROUP AB,3708083968,4137143040,4800154112,3724151040,3362600960,3854185984,3316630016,2808058880,2328965120
EWRC US Equity,EWORLD COS INC, , , , , , , , , 
EXL GR Equity,EXASOL AG,19200124,20004026,23201236,41496952,82079280,31563438,20654712,20801200,24299404
XBLK/X CN Equity,EXEBLOCK TECHNOLOGY CORP,554320,714969,912504,1027292,1336762,1553219,2829512,308, 
XELA US Equity,EXELA TECHNOLOGIES INC, ,636337024,721912000,1037022976,1157778944,1258323968,1627822976,1714838016,969486016
EXEO US Equity,EXEO ENTERTAINMENT INC, , , , , , , , , 
EXLS US Equity,EXLSERVICE HOLDINGS INC,1618402944,1441971968,1346119040,1282904064,1247857024,1183088000,1061936000,825470016,706528000
EXBX US Equity,EXOBOX TECHNOLOGIES CORP, , , , , , , , , 
EXOD US Equity,EXODUS MOVEMENT INC - A,287995008, , , ,20751000,9635000, , , 
EXFY US Equity,EXPENSIFY INC - A,173680000,176784000,210240992,183212992,87733000,76596000, , , 
EXAI IM Equity,EXPERT.AI SPA,53627968,62653428,74796448,87108208,98219512,66203432,54658516,56498232,59375048
EXS SS Equity,EXSITEC HOLDING AB,1136628992,805241024,748795008,660657984,216888000,196262912,200164240, , 
EXTR US Equity,EXTREME NETWORKS INC,1042593984,1141707008,1068510016,1010092992,979088000,756873984,770248000,459700000,374848992
EOID SS Equity,EYEONID GROUP AB,74991368,70117568,68785472,81752272,84268672,78634600,58648800,48834232,17235000
AXCG US Equity,EYES ON THE GO INC, , , , , , , , , 
EZEN US Equity,EZENIA! INC, , , , , , , , , 
FSECURE FH Equity,F-SECURE CORP,270558016,275265984,62667000,38949000,36996000,33194000, , , 
FFIV US Equity,F5 INC,5613003776,5248332800,5276193792,4997279744,4677919744,3390275072,2605476096,2476488960,2306322944
FAA GR Equity,FABASOFT AG,76328000,70374000,69699000,76599000,65296000,51829000,41394000,26304000,27619000
FACE SM Equity,FACEPHI BIOMETRIA SA,49710624,45711512,32250686,18355192, ,11114755,6597573,4407807,3046532.25
FCTI US Equity,FACT INC, , , ,12237,596,24231,4470, , 
FADL LN Equity,FADEL PARTNERS INC,11039178,16417160,10269084,13843110,7324298,6449469, , , 
FAE IM Equity,FAE TECHNOLOGY SPA-SOCIETA',59437756,54359988,31272282,17076696,7687000, , , , 
FALC US Equity,FALCONSTOR SOFTWARE INC, ,12276863,10170112,12668626,13406074,15776146,15972671,13215214,17280744
FDM/X CN Equity,FANDIFI TECHNOLOGY CORP, ,2039972,4929597,792656,16198,1208993,3467933,1014508, 
FFZY US Equity,FANSFRENZY CORP, , , , , , , , , 
FFAI US Equity,FARADAY FUTURE INTELLIGENT E,425400000,530539008,529288000,907432000,316382016, , , , 
FMHS US Equity,FARMHOUSE INC, , , , , , , , , 
FSLY US Equity,FASTLY INC - CLASS A,1451358976,1525191040,1896113024,2159020032,1219950976,320968992,162754000,116171000, 
FASTPC DC Equity,FASTPASSCORP A/S,11738435,11619029,13861659,20152748,13564976,15421447,15920397,16211197,13961426
FATN US Equity,FATPIPE INC/UT,21436878,15730684,10818602, , , , , , 
FDP LN Equity,FD TECHNOLOGIES PLC,306523008,374238016,352134016,350001984,335768000,277790016,254552000,253164992,222938000
FDM LN Equity,FDM GROUP HOLDINGS PLC,111450000,124177000,130230000,126742000,138108992,123068000,113322000,94234000,82324000
FNDX CN Equity,FENDX TECHNOLOGIES INC,288783,564056,159754,1247122,356566, , , , 
FERRO SS Equity,FERROAMP AB,297088992,366488992,236952000,188914000,144777856,52761312,20145204,10881010,7199258
FBCE US Equity,FIBERCORE INC, , , , , , , , , 
FDA IM Equity,FIDIA SPA,28303000,32019000,34005000,40473000,38521000,47993000,59732000,59505000,58319000
FTC LN Equity,FILTRONIC PLC,25265000,18086000,16440000,14606000,17345000,18231000,18600000,19449000,17347000
FCL AU Equity,FINEOS CORP HOLDINGS PLC-CDI,197792960,196306896,223408880,184469792,124359080,74263288, , , 
FINGB SS Equity,FINGERPRINT CARDS AB-B,425000000,1083600000,1445500032,1799000064,1575100032,2237100032,2319200000,3551800064,3503000064
FIN LN Equity,FINSETA PLC,7396008,6746295,4376770,1440335,1083270,400945,354939,338664, 
WERX CN Equity,FINTECHWERX INTERNATIONAL SO,723302,1006479, , , , , , , 
FTG CN Equity,FIRAN TECHNOLOGY GROUP CORP,134978000,125707000,83746000,79452000,86676000,73377000,71136000,71015000,71986000
AIFF US Equity,FIREFLY NEUROSCIENCE INC,4601000,4519835,7981214,23362644,3773701,2374041,3023756,3734983,3752424
FIVN US Equity,FIVE9 INC,2051213952,1494567936,1244484992,1192941952,1063742016,482380000,394665984,128196000,105239000
FLEX US Equity,FLEX LTD,18257000448,21407000576,19324999680,15836000256,13689617408,13499367424,13715855360,12593362944,12384980992
FLOWS SS Equity,FLOWSCAPE TECHNOLOGY AB,47432000,46724000,45657000,59381000,72804000,79833000,97807000,29821000,17112000
FLSP BB Equity,FLOWSPARKS, ,11446090,10794052,9899920,8541521,7368121, , ,10342288
MLFNP FP Equity,FNP TECHNOLOGIES SA, , , , , , , , , 
FOBI CN Equity,FOBI AI INC, ,4981761,8540595,11682344,1663273, ,35281,6812,38804
TUNE LN Equity,FOCUSRITE PLC,202944992,210792992,177531008,117214000,104700000,74580000,54926000,41792000,34558000
FCGY US Equity,FORECASTAGILITY CORPORATION, , , , , , , , , 
FRXX US Equity,FORECROSS CORPORATION, , , , , , , , , 
FORA US Equity,FORIAN INC,47169844,60412708,46258168,56842360,12554341,73683000,60937496,5405249, 
FRMC US Equity,FORMCAP CORP, , , , , , , , , 
FORM US Equity,FORMFACTOR INC,1146215040,1106793984,1008227968,1020520000,963217024,839881984,728222016,646574016,618982016
FPIP SS Equity,FORMPIPE SOFTWARE AB,854268992,835966016,782545024,704249024,720516992,674572992,701915008,676281024,649244032
FORSE FP Equity,FORSEE POWER SACA,169394000,187440000,146526000,166598000,92529000,75527000,55980000,40038000, 
FEV GR Equity,FORTEC ELEKTRONIK AG,78802000,76304000,70836000,64013000,64588752,57419220,44775032,40398728,37518140
FTNT US Equity,FORTINET INC,9763099648,7258899968,6227999744,5919099904,4044499968,3879200000,3078000128,2257915904,2139940992
FNOX SS Equity,FORTNOX AB,3396000000,2652000000,2302099968,1971149952,931422976,574897984,444800992,348032000,156543136
FRTN US Equity,FORTRAN CORP, , , , , , , , , 
FORD US Equity,FORWARD INDUSTRIES INC,14768356,17386142,20939016,19855540,19356268,16094352,19227866,13153946,12395317
FOS IM Equity,FOS SPA, ,33967728,34635848,24545136,22203982,18190152,11144003, , 
FRACTL SS Equity,FRACTAL GAMING GROUP AB,661875008,597084992,536828000,564550016,539089024,472782016,381612000, , 
FRAMB SS Equity,FRAM SKANDINAVIEN AB,22209000,33358000,64821000,58352000,44815000,67705000,45917000,21980508,2505091
FPH GR Equity,FRANCOTYP-POSTALIA HOLDING A,166904992,176140000,173240992,166883008,173552000,186268992,167248000,170620000,167338000
F2M SS Equity,FREE2MOVE HOLDING AB,27724924,41376596,46313600,42050704,25552316,28527464,25473960,25500732,35991904
FREEM SS Equity,FREEMELT HOLDING AB,223308000,254686000,268624000,335382016,33733956,30897640, , , 
FRGT US Equity,FREIGHT TECHNOLOGIES INC,5690245,10037312,10415611,2765455,3582966,5569057, , ,29853278
FREJA SS Equity,FREJA EID GROUP AB,60791000,62418000,59847000,93776000,85092000,89297000,84909000,63644000,81818000
FRLI US Equity,FRELII INC, , , , , , ,434669,355106,0
FEIM US Equity,FREQUENCY ELECTRONICS INC,83253000,74496000,85880000,96708000,91276000,86771000,83584000,113319000,122177000
FQT AV Equity,FREQUENTIS AG,394798016,371072000,340275008,315696000,277617984,272140992,197960992,194604928,183740464
FRSH US Equity,FRESHWORKS INC-CL A,1611884032,1456771968,1380216064,1482812032,367424000,321768000, , , 
FDBL US Equity,FRIENDABLE INC, , , ,253523,148601,71500,25646,41863, 
FRNT CN Equity,FRNT FINANCIAL INC,5532996,6382887,8639327,5503236,1933120,152354, , , 
FRWAB SS Equity,FRONTWALKER AB,28634000,64932000,83181000,98942000,102615000,39445000,6693000,4415720,6186261
FTI CN Equity,FTI FOODTECH INTL,436541,406211,321410,252121,175923,193740,324091,123135,73793
FEW GR Equity,FUNKWERK AG,169214000,154308000,144424992,119672000,97047000,79987000,67618000,60370000,55679000
FUUN US Equity,FUTURENET INC, , , , , , , , , 
1YT GR Equity,FUTURESMART HOLDINGS AG NAME, , , , , , , , , 
GAEX US Equity,GA EXPRESS INC, , , , , , , , , 
GAPW SS Equity,GAPWAVES AB,130987000,171579008,251511008,253592992,98690000,133415000,94705000,41888000,38117896
GRMN US Equity,GARMIN LTD,9630527488,8603569152,7731169792,7854427136,7031372800,6166798848,5382858240,4948289024,4525132800
IT US Equity,GARTNER INC,8534670848,7835918848,7299736064,7416324096,7315966976,7151293952,6201474048,7283172864,2367334912
GAWK US Equity,GAWK INC, , , , , , , ,3088564, 
GBG LN Equity,GB GROUP PLC,852904000,955120000,1102150016,480216992,526203008,515204992,231404992,154567008,95553000
INW GR Equity,GBS SOFTWARE AG, ,3151571.5,1607248.75,2132584.25,2657683.75,2883905.75,3656603.75,4674564.5,5788642
GTCH US Equity,GBT TECHNOLOGIES INC,8587,77985,370625,4018048,1164566,5266443,24545684,9492105,18543
4991 TT Equity,GCS HOLDINGS INC,3505724928,3590338048,4516914176,4901993984,3898074880,3902999040,3402284032,2981355008,2886807040
GCTS US Equity,GCT SEMICONDUCTOR HOLDING IN, ,42725824,357042848,353856704, , , , , 
AMPLUS CY Equity,GD AMPLUS PCL, , , , , , , , , 
GEA FP Equity,GEA,69693176,93525840,86370008,92138632,98532504,102042032,113029496,103194088,97675656
ALGEC FP Equity,GECI INTERNATIONAL,18863000,16861000,17806000,19584000,24956000,34359000,40916000,37774000,31507000
GOSY US Equity,GECKOSYSTEMS INTERNATIONAL, , , , , , , , , 
GOCH US Equity,GEEKS ON CALL HOLDINGS INC, , , , , , , , , 
GELN LN Equity,GELION PLC,13593000,13688000,20606000,4029417,5904104,5911776, , , 
GEN US Equity,GEN DIGITAL INC,15793000448,15946999808,6943000064,6360999936,7735000064,15937999872,15758999552,18173999104,11767000064
GNSS US Equity,GENASYS INC,53936000,49905000,71854000,90128000,66167000,47119984,41860796,38857800,36813532
GNRD US Equity,GENERAL DATACOMM INDUSTRIES, , , , , , , , , 
AICO CN Equity,GENERATIVE AI SOLUTIONS CORP,4861929,4067345,13911651,863626,0, , , , 
AIG CN Equity,GENESIS AI CORP,404011,163201,157887.9531,247121.4531,29750.9609,40254.4297,1054041,147450,324231
GNIP LN Equity,GENIP PLC, , , , , , , , , 
G US Equity,GENPACT LTD,4987152896,4805712896,4588813824,4975268864,4873512960,4454183936,3529445120,3449620992,2885880064
GSPH US Equity,GEOSPATIAL CORP, , , , , , ,205986,205314,317636
GETB LN Equity,GETBUSY PLC,11429000,9251000,10192000,8678000,7885000,4105000,4953000,5063000,4165000
GIGAQ US Equity,GIGA-TRONICS INC, ,31932000,8055000,7847000,8926000,6279000,8431000,9074000,11202000
